HI_wl,prob,index,value,lon,lat
2,0.99,HWF,9.29749373433584,122.75,53.25
2,0.999,HWF,4.28829672219765,122.75,53.25
2,0.9999,HWF,3.76677589696166,122.75,53.25
3.5,0.9,HWF,11.5012531328321,122.75,53.25
3.5,0.95,HWF,13.671679197995,122.75,53.25
3.5,0.99,HWF,12.125313283208,122.75,53.25
3.5,0.999,HWF,7.73571428571429,122.75,53.25
3.5,0.9999,HWF,6.99436090225564,122.75,53.25
0.85,0.9,HWD,57.8822055137845,123.75,53.25
0.85,0.95,HWD,32.7744360902256,123.75,53.25
0.85,0.99,HWD,9.66151563118322,123.75,53.25
0.85,0.999,HWD,3.70619365788015,123.75,53.25
0.85,0.9999,HWD,3.27570866842498,123.75,53.25
1.5,0.9,HWD,75.1378446115288,123.75,53.25
1.5,0.95,HWD,45.3082706766917,123.75,53.25
1.5,0.99,HWD,15.2894736842105,123.75,53.25
1.5,0.999,HWD,5.49779217781295,123.75,53.25
1.5,0.9999,HWD,4.82577588390282,123.75,53.25
2,0.9,HWD,89.7368421052632,123.75,53.25
2,0.95,HWD,56.2781954887218,123.75,53.25
2,0.99,HWD,20.384335839599,123.75,53.25
2,0.999,HWD,7.44622645563659,123.75,53.25
2,0.9999,HWD,6.38366679081605,123.75,53.25
3.5,0.9,HWD,134.639097744361,123.75,53.25
3.5,0.95,HWD,94.4987468671679,123.75,53.25
3.5,0.99,HWD,42.0726817042607,123.75,53.25
3.5,0.999,HWD,18.1532779316713,123.75,53.25
3.5,0.9999,HWD,15.5233610341644,123.75,53.25
0.85,0.9,HWI,8.4052028481203,123.75,53.25
0.85,0.95,HWI,6.61690938070175,123.75,53.25
0.85,0.99,HWI,3.80419378105567,123.75,53.25
0.85,0.999,HWI,2.31320987019368,123.75,53.25
0.85,0.9999,HWI,2.15064460959336,123.75,53.25
1.5,0.9,HWI,9.28222827017544,123.75,53.25
1.5,0.95,HWI,7.58995412781955,123.75,53.25
1.5,0.99,HWI,4.738791496,123.75,53.25
1.5,0.999,HWI,2.8737491577132,123.75,53.25
1.5,0.9999,HWI,2.70913385921718,123.75,53.25
2,0.9,HWI,9.8902899273183,123.75,53.25
2,0.95,HWI,8.20423431052632,123.75,53.25
2,0.99,HWI,5.41007545765539,123.75,53.25
2,0.999,HWI,3.38505181602779,123.75,53.25
2,0.9999,HWI,3.1464447878625,123.75,53.25
3.5,0.9,HWI,11.5525241857143,123.75,53.25
3.5,0.95,HWI,9.87112497443609,123.75,53.25
3.5,0.99,HWI,7.16880178270677,123.75,53.25
3.5,0.999,HWI,4.9952248968553,123.75,53.25
3.5,0.9999,HWI,4.67856357493668,123.75,53.25
0.85,0.9,HWS,136.241768488722,123.75,53.25
0.85,0.95,HWS,67.1374574067669,123.75,53.25
0.85,0.99,HWS,16.1471822258908,123.75,53.25
0.85,0.999,HWS,5.39743568682261,123.75,53.25
0.85,0.9999,HWS,4.60868551794235,123.75,53.25
1.5,0.9,HWS,188.807666839599,123.75,53.25
1.5,0.95,HWS,99.7368478095238,123.75,53.25
1.5,0.99,HWS,27.1828084423734,123.75,53.25
1.5,0.999,HWS,8.81779975763308,123.75,53.25
1.5,0.9999,HWS,7.6352489287059,123.75,53.25
2,0.9,HWS,237.917357907268,123.75,53.25
2,0.95,HWS,130.171289348371,123.75,53.25
2,0.99,HWS,38.0787201863622,123.75,53.25
2,0.999,HWS,12.4608030644392,123.75,53.25
2,0.9999,HWS,10.5637126649035,123.75,53.25
3.5,0.9,HWS,428.318210726817,123.75,53.25
3.5,0.95,HWS,258.709206776942,123.75,53.25
3.5,0.99,HWS,92.2711180947368,123.75,53.25
3.5,0.999,HWS,34.1637912647606,123.75,53.25
3.5,0.9999,HWS,28.8833182176487,123.75,53.25
0.85,0.9,HWF,18.9423558897243,123.75,53.25
0.85,0.95,HWF,14.1328320802005,123.75,53.25
0.85,0.99,HWF,5.62679066086268,123.75,53.25
0.85,0.999,HWF,2.48588444398286,123.75,53.25
0.85,0.9999,HWF,2.23578804643657,123.75,53.25
1.5,0.9,HWF,18.2205513784461,123.75,53.25
1.5,0.95,HWF,15.7844611528822,123.75,53.25
1.5,0.99,HWF,7.72393483709273,123.75,53.25
1.5,0.999,HWF,3.35155109135067,123.75,53.25
1.5,0.9999,HWF,2.9798557852717,123.75,53.25
